azurequantumjobs,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.Quantum.Jobs,1.0.0-alpha.20231025.1
azureresourcemanager,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager,1.8.0-alpha.20231025.6
azureresourcemanageradvisor,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Advisor,1.0.0-alpha.20231025.1
azureresourcemanageragfoodplatform,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.AgFoodPlatform,1.0.0-alpha.20231025.1
azureresourcemanageralertsmanagement,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.AlertsManagement,1.1.0-alpha.20231025.1
azureresourcemanageranalysis,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Analysis,1.1.0-alpha.20231024.1
azureresourcemanagerapicenter,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ApiCenter,1.0.0-alpha.20231025.1
azureresourcemanagerapimanagement,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.ApiManagement,1.1.0-alpha.20231025.1
azureresourcemanagerappcomplianceautomation,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.AppComplianceAutomation,1.0.0-alpha.20231024.1
azureresourcemanagerappconfiguration,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.AppConfiguration,1.1.0-alpha.20231025.1
azureresourcemanagerappcontainers,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.AppContainers,1.2.0-alpha.20231025.1
azureresourcemanagerapplicationinsights,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.ApplicationInsights,1.0.0-alpha.20231025.1
azureresourcemanagerapplicationscontainers,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Applications.Containers,1.0.0-beta.1
azureresourcemanagerappplatform,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.AppPlatform,1.1.0-alpha.20231025.1
azureresourcemanagerappservice,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.AppService,1.1.0-alpha.20231024.1
azureresourcemanagerarcscvmm,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.ArcScVmm,1.0.0-alpha.20231024.1
azureresourcemanagerattestation,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Attestation,1.0.0-alpha.20231025.1
azureresourcemanagerauthorization,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Authorization,1.1.0-alpha.20231025.1
azureresourcemanagerautomanage,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Automanage,1.1.0-alpha.20231025.1
azureresourcemanagerautomation,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Automation,1.1.0-alpha.20231024.1
azureresourcemanageravs,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Avs,1.2.0-alpha.20231025.1
azureresourcemanagerbatch,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Batch,1.3.0-alpha.20231025.1
azureresourcemanagerbilling,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Billing,1.1.0-alpha.20231025.1
azureresourcemanagerbillingbenefits,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.BillingBenefits,1.0.0-alpha.20231024.1
azureresourcemanagerblueprint,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Blueprint,1.0.0-alpha.20231025.1
azureresourcemanagerbotservice,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.BotService,1.1.0-alpha.20231025.1
azureresourcemanagercdn,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Cdn,1.2.0-alpha.20231025.1
azureresourcemanagerchangeanalysis,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.ChangeAnalysis,1.1.0-alpha.20231025.1
azureresourcemanagerchaos,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Chaos,1.0.0-alpha.20231025.1
azureresourcemanagercognitiveservices,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.CognitiveServices,1.4.0-alpha.20231025.1
azureresourcemanagercommunication,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Communication,1.2.0-alpha.20231024.1
azureresourcemanagercompute,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Compute,1.3.0-alpha.20231025.1
azureresourcemanagerconfidentialledger,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.ConfidentialLedger,1.1.0-alpha.20231024.1
azureresourcemanagerconfluent,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Confluent,1.1.0-alpha.20231025.1
azureresourcemanagerconnectedvmwarevsphere,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.ConnectedVMwarevSphere,1.0.0-alpha.20231025.1
azureresourcemanagerconsumption,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.Consumption,1.1.0-alpha.20231025.1
azureresourcemanagercontainerinstance,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.ContainerInstance,1.2.0-alpha.20231025.1
azureresourcemanagercontainerregistry,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.ContainerRegistry,1.2.0-alpha.20231025.1
azureresourcemanagercontainerservice,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.ResourceManager.ContainerService,1.2.0-alpha.20231025.1
azureresourcemanagercontainerservicefleet,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.ContainerServiceFleet,1.0.0-beta.2
